一,m
吊,rlb
吋,rdi
同,bmr
名,nir
后,hmr
吏,jlk
吐,rg
向,hbr
吒,rhp
吓,rmy
吔,rpd
吕,rr
吖,rcl
吗,rnvm
吘,roj
吙,rf
吚,rsk/xrsk
君,skr
吜,rng
吝,ykr
吞,mkr
吟,roin
吠,rik
吡,rpp
吢,pr/xpr
吣,rp/xrp
吤,roll
吥,rmf
否,mfr
吧,rau
吨,rpu
吩,rcsh
吪,rop
含,oinr
听,rhml
吭,ryhn
吮,rihu
启,hsr/isr/xhsr
吰,rki
吱,rje
吲,rnl
吳,rvnk
吴,rmk
吵,rfh
吶,rob
吷,rdk
吸,rnhe
吹,rno
吺,rhne
吻,rphh
吼,rndu
吽,rhq
吾,mmr
吿,hqr/xhqr
呀,rmvh
呁,rpim/rpmm
呂,rhr
呃,rmsu
呄,nsjr
呅,ryk
呆,rd
呇,er
呈,rhg/rmg
呉,rvnc
告,hgr
呋,rqo
呌,ryj
呍,rmmi
呎,rso
呏,rht
呐,rob/xrob
呑,hkr
呒,rmku
呓,rtn
呔,rki/xrki
呕,rsk
呖,rmks
呗,rbo/xrbo
员,rbo
呙,rob/xxrob
呚,rok
呛,rosu
呜,rpvm
呝,rhsn/risn
呞,rsmr
呟,ryvi
呠,rdm
呡,rrvp
呢,rsp
呣,rwyi
呤,roii
呥,rgb
呦,rvis
呧,rhpm/rhvi
周,bgr
呩,rmmf
呪,rrhu
呫,ryr
呬,rwc
呭,rpt
呮,rrc
呯,rmfj
呰,ypr
呱,rhvo
呲,rymp
味,rjd
呴,rpr
呵,rmnr
呶,rve
呷,rwl
呸,rmfm
呹,rhqo
呺,rrms
呻,rlwl
呼,rhfd
命,omrl
呾,ram
呿,rgi
咀,rbm
咁,rtm
咂,rslb
咃,ropd
咄,ruu
咅,ytr
咆,rpru
咇,rph
咈,rlln
咉,rlbk
咊,rhd
咋,ros
和,hdr
咍,rir
咎,hor/hyr
咏,rine
咐,rodi
咑,rqmn
咒,rrhn
咓,rmvn
咔,rymy
咕,rjr
